Training started for encdec_finetune_dec3 with lam_c=1, lam_s=1, lam_t=1
[Epoch 5/20] [Batch 23/4] [Mean losses over 10 frames for 1 batches] [C loss: 33.94540138244629, S loss: 112.62422027587891, T loss: 0.9490200459957123, total loss: 147.51864166259764]
[Epoch 6/20] [Batch 24/4] [Mean losses over 10 frames for 1 batches] [C loss: 32.2081111907959, S loss: 149.53951416015624, T loss: 1.2605653285980225, total loss: 183.00819091796876]
[Epoch 6/20] [Batch 25/4] [Mean losses over 10 frames for 1 batches] [C loss: 37.03572006225586, S loss: 161.20991058349608, T loss: 1.2057758092880249, total loss: 199.45140533447267]
[Epoch 6/20] [Batch 26/4] [Mean losses over 10 frames for 1 batches] [C loss: 33.276638221740725, S loss: 160.01267700195314, T loss: 1.0838423132896424, total loss: 194.37315673828124]
[Epoch 6/20] [Batch 27/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.08706398010254, S loss: 138.23532409667968, T loss: 1.0798931121826172, total loss: 173.40227966308595]
[Epoch 7/20] [Batch 28/4] [Mean losses over 10 frames for 1 batches] [C loss: 31.81626663208008, S loss: 176.69086608886718, T loss: 1.0845893621444702, total loss: 209.5917190551758]
[Epoch 7/20] [Batch 29/4] [Mean losses over 10 frames for 1 batches] [C loss: 38.03756675720215, S loss: 166.078076171875, T loss: 1.2226906657218932, total loss: 205.3383346557617]
[Epoch 7/20] [Batch 30/4] [Mean losses over 10 frames for 1 batches] [C loss: 29.732931327819824, S loss: 166.08612518310548, T loss: 1.127923309803009, total loss: 196.9469772338867]
[Epoch 7/20] [Batch 31/4] [Mean losses over 10 frames for 1 batches] [C loss: 36.17420692443848, S loss: 144.65382385253906, T loss: 1.0639860510826111, total loss: 181.89201965332032]
[Epoch 8/20] [Batch 32/4] [Mean losses over 10 frames for 1 batches] [C loss: 31.34679298400879, S loss: 147.0336471557617, T loss: 0.898947012424469, total loss: 179.27938537597657]
[Epoch 8/20] [Batch 33/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.8453067779541, S loss: 172.90274047851562, T loss: 1.1171468019485473, total loss: 208.86519317626954]
[Epoch 8/20] [Batch 34/4] [Mean losses over 10 frames for 1 batches] [C loss: 36.368486404418945, S loss: 160.22463836669922, T loss: 1.3926588654518128, total loss: 197.98578491210938]
[Epoch 8/20] [Batch 35/4] [Mean losses over 10 frames for 1 batches] [C loss: 32.291589164733885, S loss: 140.4085906982422, T loss: 0.8614373862743377, total loss: 173.56161499023438]
[Epoch 9/20] [Batch 36/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.08534164428711, S loss: 152.52386474609375, T loss: 1.0896458268165587, total loss: 188.6988494873047]
[Epoch 9/20] [Batch 37/4] [Mean losses over 10 frames for 1 batches] [C loss: 30.143602180480958, S loss: 139.9892593383789, T loss: 1.1230406165122986, total loss: 171.2559036254883]
[Epoch 9/20] [Batch 38/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.12939300537109, S loss: 129.32087783813478, T loss: 0.9943227648735047, total loss: 165.44459228515626]
[Epoch 9/20] [Batch 39/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.940542984008786, S loss: 157.88349151611328, T loss: 1.093136727809906, total loss: 194.91717224121095]
[Epoch 9/20] [Batch 39/4] [Mean validation losses for the model] [C loss: 37.262694931030275, S loss: 165.01807403564453, T loss: 1.1472342371940614, total loss: 203.4280044555664]
[Epoch 10/20] [Batch 40/4] [Mean losses over 10 frames for 1 batches] [C loss: 29.166186904907228, S loss: 169.92161712646484, T loss: 1.135106635093689, total loss: 200.22291412353516]
[Epoch 10/20] [Batch 41/4] [Mean losses over 10 frames for 1 batches] [C loss: 40.02799491882324, S loss: 165.8205123901367, T loss: 1.268235194683075, total loss: 207.11674041748046]
[Epoch 10/20] [Batch 42/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.42504463195801, S loss: 141.98238372802734, T loss: 1.1615684032440186, total loss: 177.5689956665039]
[Epoch 10/20] [Batch 43/4] [Mean losses over 10 frames for 1 batches] [C loss: 31.065251922607423, S loss: 159.30440979003907, T loss: 0.8750821471214294, total loss: 191.24474182128907]
[Epoch 11/20] [Batch 44/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.56443290710449, S loss: 148.67829437255858, T loss: 1.0698719024658203, total loss: 184.3126022338867]
[Epoch 11/20] [Batch 45/4] [Mean losses over 10 frames for 1 batches] [C loss: 36.42531204223633, S loss: 127.88400955200196, T loss: 1.1767775893211365, total loss: 165.48609619140626]
[Epoch 11/20] [Batch 46/4] [Mean losses over 10 frames for 1 batches] [C loss: 33.148370552062985, S loss: 145.44058380126953, T loss: 1.0510385632514954, total loss: 179.6399932861328]
[Epoch 11/20] [Batch 47/4] [Mean losses over 10 frames for 1 batches] [C loss: 26.484475708007814, S loss: 198.2101821899414, T loss: 1.2102364778518677, total loss: 225.90489349365234]
[Epoch 12/20] [Batch 48/4] [Mean losses over 10 frames for 1 batches] [C loss: 33.725303649902344, S loss: 180.8477310180664, T loss: 0.7600412428379059, total loss: 215.33307647705078]
[Epoch 12/20] [Batch 49/4] [Mean losses over 10 frames for 1 batches] [C loss: 30.06810646057129, S loss: 171.59062957763672, T loss: 1.0168639183044434, total loss: 202.67559661865235]
[Epoch 12/20] [Batch 50/4] [Mean losses over 10 frames for 1 batches] [C loss: 40.032128524780276, S loss: 158.66280364990234, T loss: 1.1001961708068848, total loss: 199.79512634277344]
[Epoch 12/20] [Batch 51/4] [Mean losses over 10 frames for 1 batches] [C loss: 32.20175704956055, S loss: 154.98119049072267, T loss: 1.130566656589508, total loss: 188.31351776123046]
[Epoch 13/20] [Batch 52/4] [Mean losses over 10 frames for 1 batches] [C loss: 33.85487289428711, S loss: 167.5703598022461, T loss: 0.9913653373718262, total loss: 202.41659698486328]
[Epoch 13/20] [Batch 53/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.748104095458984, S loss: 156.8748992919922, T loss: 0.9750881254673004, total loss: 192.59809417724608]
[Epoch 13/20] [Batch 54/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.80282478332519, S loss: 145.49230499267577, T loss: 1.3361592531204223, total loss: 182.63128662109375]
[Epoch 13/20] [Batch 55/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.20123710632324, S loss: 151.5072021484375, T loss: 1.0135072588920593, total loss: 186.7219482421875]
[Epoch 14/20] [Batch 56/4] [Mean losses over 10 frames for 1 batches] [C loss: 28.535636138916015, S loss: 151.53094787597655, T loss: 1.0700588941574096, total loss: 181.1366424560547]
[Epoch 14/20] [Batch 57/4] [Mean losses over 10 frames for 1 batches] [C loss: 38.17994079589844, S loss: 155.99548950195313, T loss: 0.9564565122127533, total loss: 195.13188629150392]
[Epoch 14/20] [Batch 58/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.182593154907224, S loss: 144.25389251708984, T loss: 1.2380217075347901, total loss: 179.67451019287108]
[Epoch 14/20] [Batch 59/4] [Mean losses over 10 frames for 1 batches] [C loss: 31.358434867858886, S loss: 137.94467315673828, T loss: 1.324668574333191, total loss: 170.62777557373047]
[Epoch 14/20] [Batch 59/4] [Mean validation losses for the model] [C loss: 36.406791305541994, S loss: 173.0406463623047, T loss: 0.9196646392345429, total loss: 210.36710052490236]
[Epoch 15/20] [Batch 60/4] [Mean losses over 10 frames for 1 batches] [C loss: 32.82025508880615, S loss: 182.44595336914062, T loss: 0.9422799468040466, total loss: 216.20848846435547]
[Epoch 15/20] [Batch 61/4] [Mean losses over 10 frames for 1 batches] [C loss: 36.42969741821289, S loss: 205.51483917236328, T loss: 0.9809122800827026, total loss: 242.92544555664062]
[Epoch 15/20] [Batch 62/4] [Mean losses over 10 frames for 1 batches] [C loss: 29.893879318237303, S loss: 143.71664733886718, T loss: 1.2334630250930787, total loss: 174.8439910888672]
[Epoch 15/20] [Batch 63/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.59877090454101, S loss: 183.9727005004883, T loss: 1.0085637331008912, total loss: 220.5800354003906]
[Epoch 16/20] [Batch 64/4] [Mean losses over 10 frames for 1 batches] [C loss: 29.262489891052248, S loss: 165.85357666015625, T loss: 1.0859950184822083, total loss: 196.20205993652343]
[Epoch 16/20] [Batch 65/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.430094146728514, S loss: 152.46505889892578, T loss: 0.8993131697177887, total loss: 188.79446563720703]
[Epoch 16/20] [Batch 66/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.15800552368164, S loss: 180.07237396240234, T loss: 0.9243589341640472, total loss: 215.15473327636718]
[Epoch 16/20] [Batch 67/4] [Mean losses over 10 frames for 1 batches] [C loss: 37.36136054992676, S loss: 188.31099548339844, T loss: 1.5919627904891969, total loss: 227.26431579589843]
[Epoch 17/20] [Batch 68/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.355126190185544, S loss: 179.7942321777344, T loss: 1.1612903952598572, total loss: 216.31065063476564]
[Epoch 17/20] [Batch 69/4] [Mean losses over 10 frames for 1 batches] [C loss: 33.614745903015134, S loss: 155.24681854248047, T loss: 1.283967661857605, total loss: 190.1455307006836]
[Epoch 17/20] [Batch 70/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.59409942626953, S loss: 169.84435272216797, T loss: 0.9590563118457794, total loss: 206.3975082397461]
[Epoch 17/20] [Batch 71/4] [Mean losses over 10 frames for 1 batches] [C loss: 31.08302745819092, S loss: 213.35272216796875, T loss: 0.9272291183471679, total loss: 245.36297912597655]
[Epoch 18/20] [Batch 72/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.11721572875977, S loss: 150.2762878417969, T loss: 0.8026963531970978, total loss: 185.19619903564453]
[Epoch 18/20] [Batch 73/4] [Mean losses over 10 frames for 1 batches] [C loss: 36.51548118591309, S loss: 122.18328399658203, T loss: 1.1132052540779114, total loss: 159.81197052001954]
[Epoch 18/20] [Batch 74/4] [Mean losses over 10 frames for 1 batches] [C loss: 31.115650749206544, S loss: 158.60479278564452, T loss: 1.025582242012024, total loss: 190.74602203369142]
[Epoch 18/20] [Batch 75/4] [Mean losses over 10 frames for 1 batches] [C loss: 29.558299827575684, S loss: 161.70955505371094, T loss: 1.2059159636497498, total loss: 192.47377014160156]
[Epoch 19/20] [Batch 76/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.29702491760254, S loss: 155.26649169921876, T loss: 1.1804648518562317, total loss: 190.74398193359374]
[Epoch 19/20] [Batch 77/4] [Mean losses over 10 frames for 1 batches] [C loss: 32.611168670654294, S loss: 164.2769790649414, T loss: 0.8991117060184479, total loss: 197.78725891113282]
[Epoch 19/20] [Batch 78/4] [Mean losses over 10 frames for 1 batches] [C loss: 31.40888614654541, S loss: 172.4880584716797, T loss: 1.0555598735809326, total loss: 204.95250396728517]
[Epoch 19/20] [Batch 79/4] [Mean losses over 10 frames for 1 batches] [C loss: 37.643982315063475, S loss: 143.38787231445312, T loss: 0.782544755935669, total loss: 181.81440124511718]
[Epoch 19/20] [Batch 79/4] [Mean validation losses for the model] [C loss: 37.661172485351564, S loss: 156.98371124267578, T loss: 0.8686268210411072, total loss: 195.51350860595704]
