Training started for encdec_finetune_dec3_mario with lam_c=1, lam_s=1, lam_t=1
[Epoch 13/20] [Batch 27/2] [Mean losses over 10 frames for 1 batches] [C loss: 67.77620010375976, S loss: 501.2526428222656, T loss: 0.25728259384632113, total loss: 569.2861267089844]
[Epoch 14/20] [Batch 28/2] [Mean losses over 10 frames for 1 batches] [C loss: 67.36923599243164, S loss: 503.5743896484375, T loss: 0.28411332666873934, total loss: 571.2277404785157]
[Epoch 14/20] [Batch 29/2] [Mean losses over 10 frames for 1 batches] [C loss: 68.59440002441406, S loss: 469.7037384033203, T loss: 0.22029394209384917, total loss: 538.5184387207031]
[Epoch 14/20] [Batch 29/2] [Mean validation losses for the model] [C loss: 71.25457153320312, S loss: 412.0090270996094, T loss: 0.22134947925806045, total loss: 483.4849517822266]
[Epoch 15/20] [Batch 30/2] [Mean losses over 10 frames for 1 batches] [C loss: 69.59233093261719, S loss: 362.3758117675781, T loss: 0.21993567198514938, total loss: 432.1880859375]
[Epoch 15/20] [Batch 31/2] [Mean losses over 10 frames for 1 batches] [C loss: 64.57071685791016, S loss: 496.4760223388672, T loss: 0.23497503101825715, total loss: 561.2817199707031]
[Epoch 16/20] [Batch 32/2] [Mean losses over 10 frames for 1 batches] [C loss: 63.238362884521486, S loss: 523.71611328125, T loss: 0.17387927174568177, total loss: 587.1283508300781]
[Epoch 16/20] [Batch 33/2] [Mean losses over 10 frames for 1 batches] [C loss: 71.13576278686523, S loss: 606.7612487792969, T loss: 0.31781325340270994, total loss: 678.2148315429688]
[Epoch 17/20] [Batch 34/2] [Mean losses over 10 frames for 1 batches] [C loss: 67.0185676574707, S loss: 543.834765625, T loss: 0.45785029232501984, total loss: 611.3111877441406]
[Epoch 17/20] [Batch 35/2] [Mean losses over 10 frames for 1 batches] [C loss: 66.64058685302734, S loss: 612.4836669921875, T loss: 0.21536507904529573, total loss: 679.3396179199219]
[Epoch 18/20] [Batch 36/2] [Mean losses over 10 frames for 1 batches] [C loss: 62.12312393188476, S loss: 649.5719177246094, T loss: 0.30698530077934266, total loss: 712.0020324707032]
[Epoch 18/20] [Batch 37/2] [Mean losses over 10 frames for 1 batches] [C loss: 64.07706832885742, S loss: 660.2789672851562, T loss: 0.2265653058886528, total loss: 724.5826049804688]
[Epoch 19/20] [Batch 38/2] [Mean losses over 10 frames for 1 batches] [C loss: 63.72071647644043, S loss: 608.3824584960937, T loss: 0.32194453179836274, total loss: 672.4251098632812]
[Epoch 19/20] [Batch 39/2] [Mean losses over 10 frames for 1 batches] [C loss: 60.61895599365234, S loss: 698.1365112304687, T loss: 0.2610330954194069, total loss: 759.01650390625]
[Epoch 19/20] [Batch 39/2] [Mean validation losses for the model] [C loss: 71.14706573486328, S loss: 421.7858489990234, T loss: 0.1414394810795784, total loss: 493.07435607910156]
